2016-08-09 15:17:06,963 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:17:06,965 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:17:06,966 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:18:30,410 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:18:30,412 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:18:30,413 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:18:30,414 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:18:53,246 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:18:53,247 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:18:53,249 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:18:53,250 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:18:55,984 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:18:55,985 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:18:55,987 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:18:55,988 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:19:18,170 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:19:18,171 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:19:18,173 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:19:18,174 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:19:32,356 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:19:32,358 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:19:32,360 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:19:32,361 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:20:02,921 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:20:02,923 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:20:02,926 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:20:02,992 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:21:19,845 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:21:19,847 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:21:19,848 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:21:19,849 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:21:29,173 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:21:29,174 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:21:29,176 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:21:29,177 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\test\resources
2016-08-09 15:22:11,771 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-09 15:22:11,773 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\old workspace\workspace\BankAccountWorlspace\BankAccountProject\src\main\resources
2016-08-09 15:22:11,775 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
